Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Multifamily*
2003,"3,200",700,"2,700","9,400","67,400","3,100","1,600","4,600","3,500","3,000",400,"1,500","3,300","4,000",400,"108,800"
2004,"3,000",600,"2,800","9,900","71,000","3,000","1,400","4,300","3,400","2,700",400,"1,500","3,300","4,000",400,"111,700"
2005,"3,300",600,"2,600","8,200","67,200","3,400","1,600","4,500","3,500","2,200",500,"1,300","3,400","4,100",500,"107,000"
2006,"3,200",700,"3,100","7,800","74,100","3,600","1,800","4,300","3,300","2,300",500,"1,200","3,400","4,100",600,"113,900"
2007,"3,400",600,"2,700","6,800","68,400","3,300","1,800","3,500","2,700","1,600",500,"1,500","3,100","4,000",700,"104,600"
2008,"3,300",500,"2,500","7,100","69,400","3,300","1,600","3,200","2,500","1,700",400,"1,400","2,700","3,900",600,"104,100"
2009,"2,600",400,"2,100","6,300","70,300","2,800","1,300","2,500","2,200","1,500",400,"1,300","2,500","3,500",500,"100,200"
2010,"2,700",400,"2,300","5,900","71,800","2,900","1,500","2,700","2,600","1,300",400,"1,200","2,800","3,800",500,"102,700"
2011,"2,800",500,"2,500","5,200","71,700","3,000","1,600","3,000","2,500","1,200",500,"1,300","2,800","3,900",600,"102,800"
2012,"2,900",500,"3,000","5,500","76,300","2,100","3,100","3,000","2,700","1,200",600,"1,200",400,"2,800",700,"106,000"
2013,"2,900",400,"2,500","6,000","79,700","2,500","3,200","3,000","2,400","1,300",400,"1,500",300,"2,600",600,"109,300"
2014,"2,400",300,"2,400","5,800","80,300","2,700","3,000","2,900","2,300","1,300",500,"1,100",400,"2,700",700,"108,700"
2015,"2,300",300,"2,500","5,300","82,300","2,600","3,000","2,800","2,300","1,300",400,"1,000","1,000","3,200",700,"111,100"
2016,"2,200",300,"2,300","4,500","78,700","2,500","2,600","2,700","2,300","1,200",400,"1,100","1,100","3,200",700,"105,800"
2017,"2,200",300,"2,300","4,200","82,200","2,600","2,300","2,600","2,300","1,200",400,"1,200","1,600","3,700",700,"109,600"
2018,"2,200",300,"2,200","4,300","82,000","2,700","2,200","2,700","2,400","1,200",400,"1,200","1,900","3,800",700,"110,200"
