Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total 1 & 2 Family*
2003,"13,000","2,800","5,600","49,800","71,600","22,600","7,200","18,200","13,500","2,600","6,100","5,300","12,200","17,100","1,800","249,400"
2004,"13,500","2,400","5,600","49,100","77,000","23,300","6,800","18,100","13,400","2,500","6,100","5,500","12,000","17,400","1,900","254,600"
2005,"13,600","2,300","5,400","44,500","73,600","24,200","6,500","17,600","13,300","2,500","6,000","5,900","11,100","17,300","2,200","245,900"
2006,"13,900","2,500","6,000","44,300","77,800","25,600","7,600","17,200","12,100","2,400","6,500","6,400","10,800","18,200","2,500","253,800"
2007,"14,500","2,400","5,700","46,000","77,100","26,500","7,900","16,700","12,000","2,500","6,300","8,600","11,400","20,200","2,900","260,700"
2008,"14,100","2,200","5,300","44,900","76,800","25,000","7,000","15,700","10,300","2,400","6,300","7,100","10,400","19,800","3,100","250,400"
2009,"13,000","1,600","4,500","42,900","78,000","21,500","6,200","13,400","9,600","2,200","4,900","5,300","9,300","18,800","2,700","234,100"
2010,"12,600","1,700","4,900","40,100","77,600","22,800","6,800","13,600","10,000","2,400","5,500","5,900","10,000","19,900","3,100","236,900"
2011,"13,900","1,800","4,900","37,500","77,400","23,400","6,900","13,600","10,200","2,300","6,500","6,200","10,100","20,000","3,100","237,700"
2012,"14,900","1,700","6,100","38,300","87,200","17,600","12,600","14,700","9,900","2,600","6,500","7,000","2,400","17,400","3,600","242,700"
2013,"13,200","1,500","5,000","41,400","89,800","19,900","13,000","13,900","9,600","2,700","5,300","6,000","2,500","17,300","3,600","244,700"
2014,"12,400","1,300","4,700","40,300","90,800","20,500","12,200","13,400","9,300","2,900","5,400","6,200","2,900","18,100","3,600","244,000"
2015,"12,400","1,200","5,100","34,600","91,700","21,100","10,700","13,100","9,100","3,000","5,400","6,300","4,900","20,000","3,800","242,300"
2016,"12,000","1,000","5,000","29,300","85,700","20,400","9,800","12,500","8,900","2,900","5,600","9,600","5,100","19,700","4,300","231,600"
2017,"12,500","1,100","5,100","28,300","89,400","20,900","8,500","12,900","9,200","3,000","5,600","6,100","5,900","21,200","4,100","233,800"
2018,"12,500","1,000","5,000","30,100","87,500","22,100","8,300","13,000","9,700","3,200","5,300","5,400","6,600","23,100","4,100","237,000"
